,Consumer Price Index for All Urban Consumers: All Items,State Tax Collections: T01 Property Taxes,Combined Violent and Property Crime,Resident Population,Total Gross Domestic Product,Per Capita Personal Income,housing prices,Unemployment Rate
"California, MD",0,1,1,1,1,1,1,1
"McAlester, OK",0,1,1,0,0,0,1,0
"Bowling Green, KY",0,1,1,1,1,1,1,1
"Bangor, ME",0,1,1,1,1,1,1,0
"Rochester, MN",0,1,1,1,1,1,1,1
"Van Wert, OH",0,1,1,0,0,0,1,0
"Jackson, OH",0,1,1,0,0,0,1,0
"Urban Honolulu, HI",0,0,0,1,1,1,1,1
"Fort Collins, CO",0,1,1,1,1,1,1,1
"Salisbury, DE",0,0,0,1,1,1,1,1
"Lynchburg, VA",0,1,0,1,1,1,1,1
"Mount Sterling, KY",0,1,1,0,0,0,1,0
"Santa Maria, CA",0,1,1,1,1,1,1,1
"New Bern, NC",0,1,1,1,1,1,1,1
"Rochester, NY",0,1,1,1,1,1,1,1
"Santa Rosa, CA",0,1,1,1,1,1,1,1
"Camden, AR",0,1,1,0,0,0,1,0
"Raleigh, NC",0,1,1,1,1,1,1,1
"Augusta, GA",0,0,0,1,1,1,1,1
"Hagerstown, MD",0,1,1,1,1,1,1,1
"Hickory, NC",0,1,1,1,1,1,1,1
"Cortland, NY",0,1,1,0,0,0,1,0
"Show Low, AZ",0,1,1,0,0,0,1,0
"Toledo, OH",0,1,1,1,1,1,1,1
"Charleston, WV",0,1,1,1,1,1,1,1
"Virginia Beach, VA",0,1,0,1,1,1,1,1
"Malone, NY",0,0,0,0,0,0,1,0
"Cleveland, OH",1,1,0,1,1,1,1,1
"Knoxville, TN",0,1,1,1,1,1,1,1
"Winston, NC",0,0,0,1,1,1,1,1
"Macon, GA",0,0,1,1,1,1,1,1
"Lafayette, IN",0,1,1,1,1,1,1,1
"Sevierville, TN",0,1,1,0,0,0,1,0
"Arcadia, FL",0,1,1,0,0,0,1,0
"Washington Court House, OH",0,1,1,0,0,0,1,0
"Sebastian, FL",0,1,1,1,1,1,1,1
"Brunswick, GA",0,0,1,1,1,1,1,1
"Washington, VA",1,1,1,1,1,1,1,1
"Saginaw, MI",0,1,1,1,1,1,1,1
"Louisville, KY",0,1,1,1,1,1,1,1
"Salinas, CA",0,1,1,1,1,1,1,1
"Lufkin, TX",0,1,1,0,0,0,1,0
"Memphis, TN",0,1,1,1,1,1,1,1
"Traverse City, MI",0,1,1,0,0,0,1,0
"Sanford, NC",0,1,1,0,0,0,1,0
"Cookeville, TN",0,1,1,0,0,0,1,0
"Meadville, PA",0,1,0,0,0,0,1,0
"Tuscaloosa, AL",0,1,1,1,1,1,1,1
"Deltona, FL",0,1,1,1,1,1,1,1
"Jonesboro, AR",0,1,1,1,1,1,1,1
"Shelbyville, TN",0,1,1,0,0,0,1,0
"Las Vegas, NV",0,1,0,1,1,1,1,1
"Modesto, CA",0,1,1,1,1,1,1,1
"Rockford, IL",0,1,1,1,1,1,1,1
"Medford, OR",0,1,1,1,1,1,1,1
"Ashtabula, OH",0,1,1,0,0,0,1,0
"Brookings, OR",0,1,1,0,0,0,1,0
"Chillicothe, OH",0,1,1,0,0,0,1,0
"San Antonio, TX",0,1,1,1,1,1,1,1
"Frankfort, KY",0,1,1,0,0,0,1,0
"Kalamazoo, MI",0,1,1,1,1,1,1,1
"Bloomington, IL",0,1,1,1,1,1,1,1
"Gainesville, FL",0,1,1,1,1,1,1,1
"Battle Creek, MI",0,1,1,1,1,1,1,1
"Berlin, NH",0,1,0,0,0,0,1,0
"Cordele, GA",0,0,1,0,0,0,1,0
"Bridgeport, CT",0,1,0,1,1,1,1,0
"Winchester, VA",0,1,0,1,1,1,1,1
"Hilton Head Island, SC",0,1,1,1,1,1,1,1
"Chicago, IL",1,1,1,1,1,1,1,1
"El Paso, TX",0,1,1,1,1,1,1,1
"Orlando, FL",0,1,1,1,1,1,1,1
"Kahului, HI",0,1,1,1,1,1,1,1
"New York, NY",1,1,0,1,1,1,1,1
"Savannah, GA",0,0,1,1,1,1,1,1
"Greeley, CO",1,1,1,1,1,1,1,1
"Somerset, KY",0,1,1,0,0,0,1,0
"Marietta, OH",0,1,1,0,0,0,1,0
"Lincoln, NE",0,1,1,1,1,1,1,1
"Seattle, WA",1,0,1,1,1,1,1,1
"Greenville, SC",0,1,1,1,1,1,1,1
"Gainesville, GA",0,0,1,1,1,1,1,1
"Vineland, NJ",0,1,1,1,1,1,1,1
"Danville, VA",0,1,0,1,0,1,1,1
"Sterling, CO",0,1,1,0,0,0,1,0
"Wheeling, OH",0,0,0,1,1,1,1,1
"Sacramento, CA",0,1,1,1,1,1,1,1
"Ogdensburg, NY",0,1,1,0,0,0,1,0
"Adrian, MI",0,1,1,0,0,0,1,0
"Dublin, GA",0,0,1,0,0,0,1,0
"Gloversville, NY",0,1,1,0,0,0,1,0
"Binghamton, NY",0,1,1,1,1,1,1,1
"Boston, MA",1,1,0,1,1,1,1,0
"Tullahoma, TN",0,1,1,0,0,0,1,0
"Austin, MN",0,1,1,0,0,0,1,0
"Milwaukee, WI",1,1,1,1,1,1,1,1
"Glenwood Springs, CO",0,1,1,0,0,0,1,0
"Jackson, TN",0,1,1,1,1,1,1,1
"Salem, OR",1,1,1,1,1,1,1,1
"Cincinnati, OH",1,1,1,1,1,1,1,1
"Pittsfield, MA",0,1,0,1,1,1,1,0
"Fremont, OH",0,1,1,0,0,0,1,0
"Ithaca, NY",0,1,1,1,1,1,1,1
"Carson City, NV",0,1,0,1,1,1,1,1
"Oil City, PA",0,1,0,0,0,0,1,0
"Colorado Springs, CO",0,1,1,1,1,1,1,1
"New Haven, CT",0,1,0,1,1,1,1,0
"Idaho Falls, ID",0,1,1,1,1,1,1,1
"Springfield, OH",0,1,1,1,1,1,1,1
"Youngstown, OH",0,1,1,1,1,1,1,1
"Riverside, CA",1,1,1,1,1,1,1,1
"New Orleans, LA",0,1,0,1,1,1,1,1
"Waycross, GA",0,0,1,0,0,0,1,0
"Niles, MI",0,1,1,1,1,1,1,1
"Ogden, UT",0,1,1,1,1,1,1,1
"Buffalo, NY",0,1,1,1,1,1,1,1
"Los Angeles, CA",1,1,1,1,1,1,1,1
"Topeka, KS",0,1,1,1,1,1,1,1
"Miami, FL",1,1,1,1,1,1,1,1
"Payson, AZ",0,1,1,0,0,0,1,0
"Allentown, PA",0,1,0,1,1,1,1,1
"Atlantic City, NJ",0,1,1,1,1,1,1,1
"Houston, TX",1,1,1,1,1,1,1,1
"Columbus, OH",0,1,1,1,1,1,1,1
"Philadelphia, PA",1,1,0,1,1,1,1,1
"Midland, MI",0,1,1,1,1,1,1,1
"Madison, WI",0,1,1,1,1,1,1,1
"Portland, ME",0,1,1,1,1,1,1,0
"Birmingham, AL",0,1,1,1,1,1,1,1
"Cleveland, TN",0,1,1,1,1,1,1,1
"Marinette, WI",0,1,1,0,0,0,1,0
"Sedalia, MO",0,1,1,0,0,0,1,0
"Prineville, OR",0,1,1,0,0,0,1,0
"Nashville, TN",0,1,0,1,1,1,1,1
"Defiance, OH",0,1,1,0,0,0,1,0
"Hudson, NY",0,1,1,0,0,0,1,0
"Hot Springs, AR",0,1,1,1,1,1,1,1
"Hood River, OR",0,1,1,0,0,0,1,0
"Detroit, MI",1,1,1,1,1,1,1,1
"Stockton, CA",0,1,1,1,1,1,1,1
"Montgomery, AL",0,1,1,1,1,1,1,1
"San Diego, CA",1,1,1,1,1,1,1,1
"Fitzgerald, GA",0,0,1,0,0,0,1,0
"Punta Gorda, FL",0,1,1,1,1,1,1,1
"Pueblo, CO",0,1,1,1,1,1,1,1
"Vallejo, CA",0,1,1,1,1,1,1,1
"Ocean City, NJ",0,1,1,1,1,1,1,1
"Cedar Rapids, IA",0,1,1,1,1,1,1,1
"Lewiston, ME",0,1,1,1,1,1,1,0
"Cape Coral, FL",0,1,1,1,1,1,1,1
"Batavia, NY",0,1,1,0,0,0,1,0
"Ontario, OR",0,1,1,0,0,0,1,0
"Urbana, OH",0,1,1,0,0,0,1,0
"Corning, NY",0,1,1,0,0,0,1,0
"Tulsa, OK",0,1,1,1,1,1,1,1
"Fayetteville, NC",0,1,1,1,1,1,1,1
"Harrisburg, PA",0,1,0,1,1,1,1,1
"Bluefield, VA",0,1,1,0,0,0,1,0
"Bartlesville, OK",0,1,1,0,0,0,1,0
"Kingsport, TN",0,1,1,1,1,1,1,1
"Albany, NY",0,1,1,1,1,1,1,1
"Columbus, NE",0,1,1,0,0,0,1,0
"Nogales, AZ",0,1,1,0,0,0,1,0
"Danville, KY",0,1,1,0,0,0,1,0
"Thomasville, GA",0,0,1,0,0,0,1,0
"Fresno, CA",0,1,1,1,1,1,1,1
"Charlotte, NC",0,1,0,1,1,1,1,1
"Burlington, VT",0,1,1,1,1,1,1,0
"North Port, FL",0,1,1,1,1,1,1,1
"Charleston, SC",0,1,1,1,1,1,1,1
"Pensacola, FL",0,1,1,0,1,1,1,1
"DuBois, PA",0,1,0,0,0,0,1,0
"Vineyard Haven, MA",0,1,0,0,0,0,1,0
"Lexington, KY",0,1,0,1,1,1,1,1
"Clarksville, TN",0,1,1,1,1,1,1,1
"Miami, OK",0,1,1,0,0,0,1,0
"Jamestown, NY",0,1,1,0,0,0,1,0
"Warner Robins, GA",0,0,1,1,1,1,1,1
"Ardmore, OK",0,1,1,0,0,0,1,0
"Panama City, FL",0,1,1,1,1,1,1,1
"Mobile, AL",0,1,1,1,1,1,1,1
"Kingston, NY",0,1,1,1,1,1,1,1
"Concord, NH",0,1,1,0,0,0,1,0
"Findlay, OH",0,1,1,0,0,0,1,0
"Tifton, GA",0,0,1,0,0,0,1,0
"Reading, PA",0,1,1,1,1,1,1,1
"Kapaa, HI",0,1,1,0,0,0,1,0
"Barnstable Town, MA",0,0,0,1,1,1,1,0
"Des Moines, IA",0,1,1,1,1,1,1,1
"Ann Arbor, MI",0,1,1,1,1,1,1,1
"Oneonta, NY",0,1,1,0,0,0,1,0
"Okeechobee, FL",0,1,1,0,0,0,1,0
"Scranton, PA",0,1,0,1,1,1,1,1
"Grand Junction, CO",0,0,1,1,1,1,1,1
"Atlanta, GA",1,0,1,1,1,1,1,1
"Austin, TX",0,1,1,1,1,1,1,1
"Plymouth, IN",0,1,1,0,0,0,1,0
"Kansas City, MO",1,1,1,1,1,1,1,1
"Boulder, CO",1,1,1,1,1,1,1,1
"Safford, AZ",0,1,1,0,0,0,1,0
"Tallahassee, FL",0,1,1,1,1,1,1,1
"Torrington, CT",0,1,0,0,0,0,1,0
"Russellville, AR",0,1,1,0,0,0,1,0
"Bennington, VT",0,0,0,0,0,0,1,0
"Wooster, OH",0,1,1,0,0,0,1,0
"Flagstaff, AZ",0,1,1,1,1,1,1,0
"Houghton, MI",0,1,1,0,0,0,1,0
"Augusta, ME",0,1,1,0,0,0,1,0
"Rocky Mount, NC",0,1,1,1,1,1,1,1
"Seneca Falls, NY",0,0,0,0,0,0,1,0
"Tampa, FL",1,1,1,1,1,1,1,1
"Manchester, NH",0,1,0,1,1,1,1,0
"Bremerton, WA",0,0,1,1,1,1,1,1
"Monroe, MI",0,1,1,1,1,1,1,1
"North Wilkesboro, NC",0,1,1,0,0,0,1,0
"Canton, OH",0,1,1,1,1,1,1,1
"Providence, RI",0,1,0,1,1,1,1,0
"Visalia, CA",0,1,1,1,1,1,1,1
"Norwich, CT",0,1,0,1,1,1,1,0
"San Francisco, CA",1,1,0,1,1,1,1,1
"Forrest City, AR",0,1,1,0,0,0,1,0
"Spokane, WA",0,0,1,1,1,1,1,1
"Asheville, NC",0,1,1,1,1,1,1,1
"Muskegon, MI",0,1,1,1,1,1,1,1
"Fort Smith, AR",0,1,1,1,1,1,1,1
"Thomaston, GA",0,0,1,0,0,0,1,0
"Syracuse, NY",0,1,1,1,1,1,1,1
"Pittsburgh, PA",1,1,1,1,1,1,1,1
"Jacksonville, FL",0,1,0,1,1,1,1,1
"Grand Rapids, MI",0,1,1,1,1,1,1,1
"Klamath Falls, OR",0,1,1,0,0,0,1,0
"Salt Lake City, UT",0,1,1,1,1,1,1,1
"Chattanooga, TN",0,1,1,1,1,1,1,1
"York, PA",1,1,1,1,1,1,1,1
"Redding, CA",0,1,1,1,1,1,1,1
"Roseburg, OR",0,1,1,0,0,0,1,0
"Danville, IL",0,1,1,1,1,1,1,1
"Bloomsburg, PA",0,1,0,1,1,1,1,1
"Keene, NH",0,1,1,0,0,0,1,0
"Santa Cruz, CA",0,1,1,1,1,1,1,1
"Arkadelphia, AR",0,1,1,0,0,0,1,0
"Moultrie, GA",0,0,1,0,0,0,1,0
"Altoona, PA",0,1,1,1,1,1,1,1
"Erie, PA",0,1,1,1,1,1,1,1
"Craig, CO",0,1,1,0,0,0,1,0
"Wauchula, FL",0,1,1,0,0,0,1,0
"Tiffin, OH",0,1,1,0,0,0,1,0
"Pontiac, IL",0,1,0,0,0,0,1,0
"Omaha, NE",0,1,1,1,1,1,1,1
"Lansing, MI",0,1,1,1,1,1,1,1
"Jesup, GA",0,0,1,0,0,0,1,0
"Oklahoma City, OK",0,1,1,1,1,1,1,1
"Oxnard, CA",0,1,1,1,1,1,1,1
"Toccoa, GA",0,0,1,0,0,0,1,0
"London, KY",0,1,1,0,0,0,1,0
"Greensboro, NC",0,1,1,1,1,1,1,1
"Goldsboro, NC",0,1,1,1,1,1,1,1
"Worcester, MA",0,1,0,1,1,1,1,0
"The Villages, FL",0,1,1,1,1,1,1,1
"Homosassa Springs, FL",0,1,1,1,1,1,1,1
"Malvern, AR",0,1,1,0,0,0,1,0
"Summerville, GA",0,0,1,0,0,0,1,0
"Roanoke Rapids, NC",0,1,1,0,0,0,1,0
"Pine Bluff, AR",0,1,1,1,1,1,1,1
"Laconia, NH",0,1,0,0,0,0,1,0
"Lake Havasu City, AZ",0,1,1,0,1,1,1,1
"Napa, CA",0,1,1,1,1,1,1,1
"Zanesville, OH",0,1,1,0,0,0,1,0
"Magnolia, AR",0,1,1,0,0,0,1,0
"Bay City, MI",0,1,1,1,1,1,1,1
"Newport, TN",0,1,1,0,0,0,1,0
"Hartford, CT",0,1,0,1,1,1,1,0
"Minneapolis, MN",1,1,1,1,1,1,1,1
"Eugene, OR",0,1,1,1,1,1,1,1
"Bakersfield, CA",0,1,1,1,1,1,1,1
"Akron, OH",1,1,1,1,1,1,1,1
"San Luis Obispo, CA",0,1,1,1,1,1,1,1
"Baltimore, MD",1,1,1,1,1,1,1,1
"Denver, CO",1,1,0,1,1,1,1,1
"Johnson City, TN",0,1,1,1,1,1,1,1
"Port St. Lucie, FL",0,1,1,1,1,1,1,1
"Springfield, MA",0,1,0,1,1,1,1,0
"Mount Vernon, WA",0,0,1,1,1,1,1,1
"Evansville, IN",0,1,1,1,1,1,1,1
"Utica, NY",0,1,1,1,1,1,1,1
"Clarksburg, WV",0,1,1,0,0,0,1,0
"Crestview, FL",0,1,1,1,1,1,1,1
"Portland, OR",1,1,1,1,1,1,1,1
"Daphne, AL",0,1,1,1,1,1,1,1
"Greenwood, SC",0,1,1,0,0,0,1,0
"Batesville, AR",0,1,1,0,0,0,1,0
"Clewiston, FL",0,1,1,0,0,0,1,0
"Stillwater, OK",0,1,1,0,0,0,1,0
"Reno, NV",0,1,1,1,1,1,1,1
"St. Louis, MO",1,1,1,0,1,1,1,1
"Trenton, NJ",0,1,1,1,1,1,1,1
"Athens, GA",0,0,1,1,1,1,1,1
"Palm Bay, FL",0,1,1,1,1,1,1,1
